<new sheet>
sheet_name: 2.06(Base period 1997-100)
,2.06 Trade Indices - Monthly (2006 -2010),,,,,,,,,,,,,, 
,  August,155.87131086906479,454.835716972301,122.74787271703045,201.82086118147447,93.49433405301042,32.52983048840655,211.08879944097148,205.9964143076265,106.42683768884207,87.9429566925045,171.34778678424584,,,,
,  September,126.63010461913468,258.59090789967416,120.79283406819579,185.41101180056447,84.76821232929221,41.44566084778225,197.81581054037164,199.98430308945788,98.06017069145055,95.75445537814629,157.54207418502807,,,,
,  October,141.34714311294988,195.15624080425437,113.25708227464212,179.14506462712217,88.88224429853764,26.32772697311852,212.68446453621394,250.69792657158422,106.27265869182668,62.99079293503346,155.24773143976273,,,,
,  November,139.02127039724624,329.68713484904805,125.0708167848225,200.19370244737394,94.76677999524675,24.576194407335922,205.1057297855436,234.36689116573478,117.44054358918329,117.07917243690407,173.36349277315568,,,,
,  December,149.6825099972002,289.8429249215534,120.35568231786357,200.40763442835893,89.32568501799264,22.592917679281417,168.70572660400512,191.15853237150685,101.15428084258922,101.77911270267626,169.03225687859901,,,,

,2022 (b) January,154.35618558462454,255.2319417035415,106.40528214642003,203.0285336005836,71.01096277416367,41.91937076123097,174.6478369353527,164.90981377284595,88.69046187414085,80.24614061158516,167.44955429368855,,,,
,   February,148.7815552744216,198.6512791285856,108.96570130930479,170.2901560809877,76.87844549121121,41.92375172804329,187.55736287274095,212.67559056418912,90.08531521061835,97.66366603214233,144.74317837260875,,,,
,              March,156.93628040289536,157.8622097716782,122.22365250375161,193.54998339524684,85.29615280332975,40.009543119643624,212.62960668143742,259.5357766514049,101.36719802675138,105.5075152563237,164.21090731360363,,,,
,              April,141.88313145314828,175.01210453021392,86.32490975453747,198.598411813916,67.47047594239753,25.867376453503276,164.9148324434089,240.04123048397878,80.57019266940611,95.9722775630297,162.1937996139755,,,,
,  May,140.40478257386488,147.24113396139694,98.77992570373443,196.72355090061708,72.96684500343135,23.03824294347271,211.09839551532718,250.7759303230046,87.10373232965134,56.2476135261048,162.49557005387362,,,,
,  June,158.75575863188507,295.5610820922302,121.88807278750556,230.13384581286073,86.47764528511259,22.83732990899704,239.57889295421188,258.30961468973805,109.3422340050893,123.1644452688741,192.34380396708553,,,,
,  July,152.48239879269445,172.14533579445506,106.0734091617089,174.17376989395498,83.51010724451125,19.58938620059331,192.29607454613802,245.90509108453622,96.34362752433046,38.11349572590985,148.97724530784743,,,,
,  August,172.70707383412386,178.14902424406785,118.49646832039876,216.66362983632047,84.10368772653487,22.682848739404825,210.0234702162755,296.5476159727348,103.21431581888562,93.18928661427096,181.02065158148838,,,,
,  September,128.27944970629008,93.38625722520935,112.99012620849389,170.00128725302048,79.10850176363512,24.274132831301458,195.60610692728073,279.0081469248447,96.18781512826482,107.42376171345956,146.21738987803414,,,,
,  October,121.02801003982138,120.82913152789861,108.63542968237769,212.42713180916417,70.38138962136269,31.573992741711276,196.58889608991691,241.89971403555438,91.28239425527971,59.56252960282872,174.88393173349792,,,,
,  November,131.34455235137972,143.8995566938117,93.94182133903169,166.59004226639058,70.99512152926987,22.86018845934852,167.41686645870132,233.42358744283297,86.38056909191056,85.17849658132812,141.10680457661138,,,,
,  December,128.35666649513794,332.27855762668054,94.41135111604733,206.5056287784068,71.1299439273174,34.41398712771544,169.11194219225513,207.56914360754615,86.72102200468971,427.8229628156352,170.4018589063523,,,,

,2023 (b) January,117.78616702333521,158.89124111892613,93.94792408806276,241.0125451036646,64.90689860920857,35.81494952283365,155.1438034750088,155.4612122596749,80.15916013818305,99.3293167558111,192.0672684001096,,,,
,   February,119.60566173264901,141.2079664787453,70.52272974420605,165.67396024375697,69.17873243509811,47.63023302517366,175.51662997404168,183.64888307558908,86.81033563844922,74.01854716980944,140.5333608899419,,,,
,              March,124.03484460159456,153.83743431057843,98.14450519060064,195.78452691528625,67.90166622769212,41.42342985256202,189.80568940143996,187.93056518726945,89.1255409229551,111.73062812599096,162.56361307427173,,,,
,              April,94.51961215854689,137.94763988448668,61.70185088125418,188.90271693584674,59.93269715013928,22.624010473431763,163.44888668681628,235.28155321712663,77.19575830272086,41.60093179771859,154.40277778769808,,,,
,  May,110.41524881917404,136.69268914540302,79.560438023953,201.98178442708635,76.45971377342512,27.817483631938778,211.501321401091,275.74684962437624,94.8444172508893,73.73716737531252,168.35246375098308,,,,
,  June,119.33623491239456,150.96764261950148,79.88722977549075,187.00723857934008,78.25325768226247,18.145072994016065,192.610964820163,317.23340224571257,92.14573476548236,34.980285104643876,156.92809443890138,,,,
,  July,116.31313866960173,142.86582143624673,78.0071464806533,193.03675953880943,83.48311019080147,18.392824934551232,221.00326269193945,411.71487395172403,103.21161751374967,76.56404164417917,164.2738157807511,,,,
,  August,114.53612548465294,216.09190846970282,83.05865896225612,243.05564261977892,84.91063892470564,18.358887070349898,232.99857364567353,328.12365400387444,105.44970209842255,85.77620215712685,200.21697527124223,,,,
,  September,,,,,,,,,,,,,,,
,  October,,,,,,,,,,,,,,,
,  November,,,,,,,,,,,,,,,
,  December,,,,,,,,,,,,,,,

,,,,,,,,,            Source : Central Bank of Sri Lanka,,,,,,,

,(a) Volume index is computed as a Laspeyre's index.,,,,,,,,,,,,,,,
,(b) Provisional,,,,,,,,,,,,,,,


,Table 2.6.4 : Trade Indices (Imports) - Value (a) ,,,,,,,,,,,,,,,

,,,,,,,,,,,,,,,2010=100,
,,Imports,,,,,,,,,,,,,,
,,Consumer Goods,,,Intermediate Goods,,,,,,Investment Goods,,,,Total,
,Period,Food and,Non-food,Total ,Petroleum,Textiles and,Fertiliser,Chemicals,Wheat and,Total,Machinery  ,Transport ,Building ,Total,Imports,
,,Beverages,Consumer,,Products,Textiles ,,,Maize,,and,Equipment , Materials,,,
,,,Goods,,,Articles,,,,,Equipment,,,,,
,2011     January,115.42337595677009,152.8242740563843,132.82881387179086,157.49402479264344,128.7652623834931,55.55112821407913,117.42001656127955,198.5780408790403,143.3667777045444,137.4556628394814,143.43907876363104,106.95130427118114,129.6417970820066,137.63372782083303,
,              February,122.70375501336007,136.65779183451505,129.19761301932684,92.49304416263533,104.09230117016217,70.60387895384302,110.09812790710737,38.37538548269951,101.34561107667562,113.32074843758768,133.5862740524767,104.02511775809437,114.85573070167777,108.55252334995593,
,              March,144.74214836841657,190.7272574471773,166.14246231152168,135.20015760744647,130.982639016898,145.5837585184513,133.77797938843943,233.38343759354515,141.30452691686446,138.0779520537635,141.5971849019412,110.67113465678568,130.61904184111717,142.750035176811,
,              April,104.12381790522969,162.93441697712052,131.4927925262304,129.69864289044037,125.50583953407735,192.44783463060168,111.26568629769328,207.8166190442207,132.0797495669089,138.9269660270498,127.91993652872482,108.78481383507129,127.57515722628915,130.1067315836932,
,              May,110.6904983647348,178.14310592006206,142.08124651959315,179.84279920751072,129.17984260036414,129.08989559277902,123.24612852744427,188.09386522611356,156.50650905549136,130.80034085090094,140.8269368166231,107.80271511452972,126.04645472810459,146.31669432352783,
,              June,125.53563840792263,169.16414444716582,145.83924852895845,131.55834337548325,130.40500798273456,142.3081943898516,126.509745255661,302.04019300728305,146.07041551601642,148.33469351791726,152.16921344606718,136.43435950667092,145.60029008708116,144.75450636861387,
,              July,102.4360083779215,185.11309276498454,140.91184538753606,171.64155677978817,117.31452201730679,259.3046140221865,114.66116410047658,157.75011332050641,155.3506374070438,164.53387695694875,191.88808568052573,142.67133723349446,163.77925978686366,153.40296602214838,
,              August,103.57033432584585,176.02401994728513,137.28845851205097,188.77797036264133,127.37622402077334,216.2496867422714,150.37178071385392,123.65278266235887,164.75446939928602,179.1582748904588,194.2384972667485,142.09559188018017,171.228643066931,159.6624039691597,
,              September,104.76684798239879,187.76691173941634,143.39299147279903,128.05372030314751,122.0948283242703,175.6187684869278,139.42996918195382,116.14427994509539,147.4593394376682,177.88401377965423,227.9837282978565,167.6668015702033,185.5686889521676,153.6653134282433,
,              October,112.41267085253382,186.58774868659322,146.93188770780694,151.90772997025434,128.56737382715434,157.41161382098468,136.62326874814912,97.89544639542373,154.48793810587964,146.89849611970726,213.95985205104338,148.86639055180743,161.87449133741785,153.2500642478302,
,              November,122.8110726107843,198.51259991199927,158.0406606812146,190.24301810531176,126.2039487699582,302.58821325812846,162.64953645731606,144.8559382955009,173.08830616550648,225.611428768054,247.6565307149984,129.72748619393016,201.67181924266077,175.05544549287166,
,              December,121.00427423130881,202.4649928948213,158.91404520617658,194.30890821461497,134.87888832963782,141.34416122213221,159.19872159599106,86.12472383570976,174.28330545751078,178.53025355985733,193.73,130.52133471443614,167.47,169.120134989652,

,2012     January,113.73526482417896,171.33351665480788,140.5400435110866,204.7567167091699,135.66671227590695,156.39638311770094,125.48618203119888,125.69889711955575,164.69052188189795,226.22853418852517,295.1412102497776,187.90518629915533,229.60654638398032,172.6534047332954,
,             February,104.76365372795897,150.8780351496346,126.22412777023449,206.89130808364774,94.74589599235574,74.21395466697649,122.92512330508924,151.06424444345498,146.46017421453266,150.32395222159326,246.1405619808566,152.267997965663,171.49993872498067,146.68031691104312,
,             March,135.64620807615762,241.4866126298551,184.90167208810513,233.0793641397052,140.8527494366868,102.84509142361418,149.71385257653824,311.600449772274,182.55670305347584,162.75275395953904,318.21834479130996,163.4359726624887,196.32640013655032,184.1574505556548,
,             April,99.12616643326086,173.06661438210355,133.53619243730705,162.66394652185568,137.5911536946581,146.1307916309886,115.78834847834102,130.95120063820858,142.2504256912571,188.35926143408707,190.2096016187151,152.48410188837354,177.9334774667428,146.6903472012459,
,             May,123.47745629342019,178.30656045866837,148.99354325856925,170.06106251130163,147.59426290341415,203.9397607474461,134.6609846773393,97.41144201201234,165.91349443317125,168.851036183904,169.99609004286597,156.52817697790573,165.40116945551168,161.2988203507197,
,             June,114.4531795248644,149.55953465213943,130.7907948132192,184.39642439416116,149.3787861668109,125.41276448602916,131.94165372390188,166.26395191131488,159.17138153007312,133.88716500471872,125.82629876112317,155.44530613411533,138.56114097287426,148.3124630282093,
,             July,119.01346809901156,154.00496763946072,135.29763248411888,96.0239939303954,152.43776461396757,56.53752842459438,176.2265104244533,153.61227056382532,136.0885447485735,155.4084622593755,163.88285455255945,157.60567579908917,157.837960022387,139.3554113363404,
,             August,103.26925371511123,154.8961692065912,127.29512255755617,228.93113462996146,130.0687635327989,447.04302622650164,135.28354814095923,175.79837573513302,187.8863973721228,269.956097303276,200.9339987883472,172.97157598797054,226.2562055815316,182.94956354529947,
,             September,96.50931651747568,139.4554957686467,116.49538890142523,147.1576856333074,138.78475363365962,159.44362738172995,138.514743762878,181.02556245108133,143.29833269965889,149.864668943783,122.67389844719027,143.64014428419793,142.1434324615961,137.11432177781316,
,             October,103.6917853464439,151.98528953059295,126.1663683507668,168.65430749380968,169.69604215288544,73.55521987715419,182.11966864543407,164.33555705259548,165.5973655845538,211.93337248554482,138.23243796003595,182.72064794769776,187.23318674072954,161.3861106920724,
,             November,102.72436497165496,164.90259132124248,131.66054868337758,264.45779006965154,155.96932757716746,138.8474099171306,187.72266719227292,146.14022392206903,201.9895356594069,338.93756814298234,130.34254396115756,206.86725876592456,254.42772670825218,197.88745465199304,
,             December,115.45598145993962,151.45804859227505,132.21043860199254,167.40843957932464,145.91158744346944,76.9313659030975,145.66471694017426,49.63037879738779,148.5165450412562,225.18978645485763,133.42720491925274,201.651718969621,198.40595508036006,154.4061062416104,

,2013     January,116.27725723460739,154.9811376136935,134.2890703524192,128.9350387678356,151.20592283742337,90.01206145556682,175.12026371284944,178.33244842587382,141.29952845818843,251.76489520157236,119.76699257401181,224.40731555738233,215.12179812738668,153.85544982107007,
,             February,95.25319322277635,134.31213488417782,113.43024293701716,185.08445140671563,121.14290256435035,48.0737206439587,132.4770633186492,3.2908733962515053,145.08891176752294,167.4495822087758,191.0314087230437,171.1150546206241,173.58753178411234,143.74422816513933,
,             March,124.24558317903102,156.14915804127938,139.09270503297947,170.0716669314584,96.78498253727429,26.386342459997092,168.3521145902048,205.39201177432778,155.06761496335724,176.61610979458632,115.36821673362623,219.4585930930714,176.26372797682797,155.07147072765864,
,             April,128.21894971789897,169.48736768898885,147.42423417213357,152.62450357116927,113.97185607212549,42.21475863152337,158.27627936646073,226.12976869466775,147.56815238042208,186.51454240524907,136.0281283916786,189.3968273817308,176.42686305577593,152.18958881670923,
,             May,128.65167285104948,162.5498449802111,144.4270301394055,142.54733054260308,117.50802888966379,129.5049226455117,155.70504301439573,220.11496994541207,151.09227733056088,218.25160570726382,93.83006788962183,185.08616383942524,181.83485023951732,154.8480504965147,
,             June,123.84082525485269,180.54050640638957,150.2274317330198,203.1257208827551,117.6477903025668,170.9426498559173,152.30370373464595,168.1382487073386,162.48958233246157,140.56637410048558,86.39861367458303,153.42524541090006,132.74103243539597,152.6999814861866,
,             July,142.59514657094536,208.96585527164933,173.48240619207056,122.04149661343808,149.27926822136038,109.82308275977445,164.82545098119408,30.930637707095578,133.97516119008455,198.67767759090378,135.19629060594437,167.00934709765775,175.5557512224578,148.6083750197181,
,             August,107.3885387785081,200.57097668865364,150.75330326880376,179.6,130.43277038735587,81.34161673167992,163.58520800233222,155.44625142204876,152.4,180.41795187949444,108.26497855901013,190.54318627268484,167.86690448582868,153.90653275409153,
,             September,89.86207631770439,181.26212472374002,132.39736153262163,179.9118550441089,135.21734533740758,242.042065365287,161.4414579452253,129.18720311417331,160.2224603150128,207.2168429932663,85.23771295242867,174.09725772100407,171.0870792978577,155.8522821211648,
,             October,106.99693286488855,222.9273999952407,160.94805838926507,103.47157886774649,143.21814065331097,157.375421665012,156.4518023118592,120.10399246892766,130.57274861542908,179.72412945935514,124.93376329313908,210.32454099821646,177.16210773259175,144.6205555625656,
,             November,107.95047804877746,191.51680936207674,146.84014822690324,166.34652180410004,140.57862866668987,178.50111013418692,146.85449590888777,178.1523367352419,154.5871881336249,195.90002871662878,259.6678299433951,193.93955304990521,209.10067249155884,162.86963633819803,
,             December,144.18178677330263,198.80222342699744,169.6007651233711,207.1174722216719,133.60988577323064,92.36301000058982,199.27944891962792,46.29998612113739,161.53265696387385,171.41139113049363,87.81749148513437,182.27468431911416,156.680294445453,160.6274477011192,

,2014     January,115.27412047851526,173.12270464060376,142.1953975404549,224.10810409822017,148.5127221053984,20.282440434563817,182.67878621715442,208.06516995925762,178.38019971714158,204.27879462486203,110.49562023566023,205.85299610851558,184.47271160423693,171.30652014471158,
,             February,99.70998987380946,155.33888598837243,125.59827990963494,226.75897117094758,117.01256965002204,115.79632774649556,136.63044436727574,51.74437529264997,155.80143826788313,177.6066535529524,92.76258399293965,138.15159211100485,147.437898300189,147.08733577391885,
,             March,139.40908168696615,204.70530411744198,169.7963024048226,208.6359606025868,139.58251454210992,279.1392690676943,179.1847165832998,205.6203369199061,180.07564676878712,185.89180094928363,98.13059089713639,171.24444748317774,162.58818188211572,172.89516161260516,
,             April,113.98056817840914,186.72943550972076,147.83606251308365,144.2190518207938,137.74927956521483,135.82095044956583,164.81078619487968,339.92640020129863,153.18174401985362,159.09676628081834,81.63205235657998,169.6116758961109,145.53258279370345,149.3494839433839,
,             May,144.02055596389957,168.55286034187057,155.4372738091743,130.4823279237281,135.01219128121284,182.8650524521547,168.313134407921,144.38445824867063,136.70740809696701,147.95311314743526,77.07331380639663,174.56153278503103,140.5581918909105,139.73457918261252,
,             June,141.73770033021702,170.12511481951302,154.9484895242471,187.54072780084638,125.68829323876399,79.28871837660826,148.0675635113436,91.43645155603056,153.16279019343406,150.55989874803956,52.08787119533272,170.51163885467327,135.43452344704366,148.44548622661432,
,             July,160.8685910057627,248.70200790586978,201.74405556405148,234.45684203360375,157.84285225165004,69.17558076706783,200.85025069205943,145.21840722819582,192.1261139236899,216.21845780960018,117.74844773230366,175.6978903515878,182.7774794727787,190.23955659587543,
,             August,127.18049187180722,247.28580052484654,183.07448370743234,214.4770073904624,163.64760913350253,58.91934674711243,184.61140438753108,212.37153823873848,182.2282152143629,176.08444479534703,96.2878427952295,205.31171460531212,167.53044394255477,177.71334813893148,
,             September,158.53804357137435,256.66666518631274,204.2046376370124,134.26846028730202,152.1707073333903,44.05899693149288,181.49751433947867,202.86126503582594,149.56211431381473,183.2120309874932,326.8664772135196,187.31410645147182,215.1920992735832,171.92929181571668,
,             October,177.51482692073034,291.39997504258525,230.51411238704213,150.01009285277726,166.47223734618044,133.87022883180202,182.00608333431563,183.49897061288627,162.17170719420034,204.81374190157024,147.2252670306012,228.0434970723718,199.33713809901025,180.92912342266217,
,             November,155.23793958934667,262.2912639731255,205.05786600383198,122.73121025913578,165.70888364397737,313.2024293727632,199.06777523834091,77.96945045582629,157.0302693292983,187.01903766274376,216.33393348386286,165.50149658727295,187.1794784060486,170.68444663207165,
,             December,177.92458865081488,305.36683515013584,237.23300694833128,117.01899770236112,173.55059841943597,140.28145261211242,226.39658048187277,250.020342969575,161.8685152325303,215.3228673787743,237.89727104864306,215.633000758908,220.60085447139804,186.4173904944892,

,2015     January,178.9418224692822,276.2030237103945,224.2047408952968,132.79134277575798,154.37155349027745,58.840692529443665,199.91707032425305,112.03744901652837,145.99932663464787,251.10955910336247,214.77947240502667,185.45809720783683,223.9179277569488,175.10946476054744,
,             February,155.40938929953654,252.6420854544964,200.65904217492272,122.50555399904376,164.3462569563229,116.38930114950392,203.99622994799998,16.37784676877397,142.52779710968323,182.6742094832159,167.2537413516226,202.5216520704568,185.2592493746017,160.6968010195088,
,             March,157.10839747143677,360.3896936117107,251.7104032797141,72.1113941213362,138.03788307488685,145.53935009978122,190.54199750364202,278.74197831558445,129.8592879030786,181.66714290184072,324.4904915320315,152.23531996761895,203.525390942697,166.3094805846929,
,             April,158.88950190013176,278.03142128116104,214.33515658306854,98.61899778646509,140.95245092398673,186.06268943547764,184.41511591214504,52.71789467975977,132.50065751765564,200.10885402801927,166.80923358820925,159.6998381199442,180.82230165775692,156.7919613093799,
,             May,141.30048917374236,266.803098221209,199.70624895338085,123.15135990773122,160.73983467367185,147.96883351018596,182.45318576424594,184.8037559978625,156.53801432962098,184.39421007812984,171.2692366828168,172.3867553540304,177.84295503826925,167.53493971481174,
,             June,136.25846595809415,326.40880700003225,224.74965530628845,134.27367743952328,171.2457233647416,167.08699812924266,185.66132026408758,286.39530688535535,160.61666725155135,204.68370953462716,181.25937328511972,187.73038537529158,194.5161846359919,177.92305124792188,
,             July,142.33571101305623,347.4536633955162,237.7924504726341,81.57091258967776,157.68180911290563,38.32432245187787,215.47720505794712,134.20632850574958,132.56229251281323,190.02533630884022,193.41488239171915,182.54648242199633,188.40567936827983,162.31585551341087,
,             August,130.06148455253427,369.2324007106564,241.36561744210718,87.16668575263935,121.11479146834914,93.19382157991829,229.4673638869626,75.38281872505931,130.42324116180316,171.11878661914866,193.079168655409,210.7869409963636,187.63520190282537,161.44166849222904,
,             September,128.63615619313396,354.4579133982779,233.72792603316282,109.72035490801146,137.05758359307822,238.14325857361473,191.21913174055126,412.0668873266602,151.81737352684863,183.79434467466925,181.62268174437546,214.30826417671435,192.3908604166092,173.98759393156615,
,             October,125.38886087156064,380.4731808702159,244.09869192980693,112.46514296634591,141.82247758264702,249.11498807885317,226.97116337642265,81.09911364457187,152.4555878126562,234.20032219487413,193.33207662012907,229.65531102114292,224.20367334470498,182.71030795263903,
,             November,145.36883115362718,344.7907194910549,238.17476557553638,95.99687496911667,139.7295828214529,130.52758946909097,190.53879131601417,111.39592872482774,129.32950024765125,219.87096155062667,137.58367539399146,243.40136075903908,209.32391477943222,164.68325592902136,
,             December,172.02983755363363,309.8704734965051,236.1774049377275,108.26155432520638,203.12869744200404,177.47180681970354,211.98131137085133,200.49002834378135,161.81400521383682,254.79827025420826,130.80364702771885,238.16727384111184,223.4423932754903,186.75521595379806,

,2016       January,137.01911698487908,298.3692375320709,212.1074075998639,87.82942680354866,211.8514109122531,75.0009442490348,201.36173335077817,247.6345267416671,152.0723571460478,291.8038362314818,135.52002162101468,250.9255545308047,246.15582641301927,181.0608468921409,
,               February,141.5537976883447,295.81168467535423,213.34154106561886,74.75468227532757,190.0147527220502,104.5841451407276,206.09198763792608,58.52201474887214,137.4060900649006,240.1205267674752,136.13409165202756,196.81581533494133,204.84092196440312,163.9775319628868,
,               March,182.8165794529352,347.43472491436023,259.4257267221621,81.42703642272386,187.96510581800695,81.61906948307036,207.95271867433652,7.283915147678931,135.76532770826003,281.80776721957454,134.97387121956186,243.0597216736011,238.58106167747525,178.45264719569224,
,               April,135.48869977973447,263.7959483996631,195.19966832260857,100.87751244085163,167.425553236873,82.6411397661554,210.41479908939377,294.18915633429185,147.79888074668244,243.03399984621262,96.27483652264148,211.4324588363815,201.94140633222557,166.40341205180752,
,               May,141.92536386769518,277.45017457520737,204.99520439483692,95.11303801892964,200.44218154643258,92.29570317620217,251.0566448463578,125.46230882443993,163.53138552445333,256.54939039518456,127.95507942563314,258.65811140608537,229.39689403619815,183.29350657175655,
,               June,160.1110885176562,290.20860899384655,220.65520458447955,154.259019684938,183.57033226047585,41.53153355662761,208.59605126269366,34.44986472402981,174.28655329335245,258.9890834421891,121.8439419460038,258.75839072860873,229.50067473036486,192.71819377088175,
,               July,140.95037726160996,271.5249126943079,201.71648409956174,72.24390393814932,168.91906990945978,24.102804714160477,195.046778218602,48.36711327736955,135.11901023837132,259.23325513954467,148.49418725129357,227.08281841139743,225.8232568122503,164.91265103248605,
,               August,166.58375865379435,337.02932982700077,245.90484337865826,91.79957196583811,187.93862448093367,132.29618895311955,197.54617928306985,134.36988667428673,158.19816869930318,252.90917536629172,173.04256602081384,271.0686678584682,241.03263371866208,190.06045190953506,
,               September,169.40120292810684,309.0586074542452,234.39424874691076,89.72762140492978,189.437156589292,45.87675479892384,179.08087740979198,221.86393858514055,149.09958736322892,225.2428967655914,133.5,209.51771466431433,200.8,174,
,               October,188.30985716459395,294.2324722784188,237.60357990488657,130.0723347180165,200.27711350535998,35.134527103821945,223.0247074327994,112.64334163938774,174.11026369994948,274.5418095225452,199.7,254.43842576474214,252.4,200.4,
,               November,167.31842176253,336.12277035587334,245.87572275037095,114.46125163549145,223.97327421862394,116.47349210253458,229.1676991200023,10.91597080623864,172.03418549152332,286.00262201556205,175.35622423024412,285.3324503211801,262.1513784422729,202.60055285342384,
,               December,170.29199675482644,290.4218840872089,226.19742689004002,170.55841031930922,199.0830644945712,47.975317489252745,236.15054691462552,152.70380291692905,197.0278552995497,296.67057428630727,147.68165080911726,284.80775890602706,262.22543282622036,214.02486977828192,

,2017       January,172.93331201632213,297.710994098577,231.00170900717646,148.1377379840793,222.78144583247584,27.603238007794992,213.62598838138322,184.04994614024983,188.15117165088566,298.4483852646778,118.99960008249276,263.59843047686024,249.93577871529513,213.73030761249976,
,               February,179.2477289972144,271.20284081346557,222.0413267718909,186.65843943031516,165.14592694054468,59.76363483902817,191.03339996156149,78.97186439493082,180.46237321146037,236.7496414873914,135.74596024995807,217.8879389128049,209.3346462468105,192.3415949061864,
,               March,259.3767241753547,355.89979727115764,304.2961363151755,129.633122971895,201.69762458130728,44.96155929676186,243.98116071510057,235.15193216488862,189.39260383357566,285.7956604188826,187.20167245807582,277.7366950073683,262.2604024319022,224.06415877110666,
,               April,150.88132427971075,309.3549212911448,224.63095314172438,172.4764634467419,172.65112595736295,18.646729227448517,196.61969669049247,213.35748377515327,177.24719753172636,223.62570766068953,140.29156029577499,263.2567620194502,217.7736424364647,192.66896656272405,
,               May,199.1095776385796,309.77367222087497,250.6098657478108,114.66504549227831,203.16111032246815,30.225229542880296,208.1092054678445,227.98106743224332,173.70435137866656,274.24480060047455,171.70316017188048,269.6015537804473,250.73821838846206,207.9732118066354,
,               June,161.13827994782625,269.4596620206049,211.54832853851616,106.98842392228228,196.3805993197604,81.16126760466989,209.19660849413938,44.54911332330685,159.63579230062723,267.05402702194874,152.6566381957119,253.6282170299705,238.62025397177848,186.4134907639069,
,               July,164.14031537643288,285.1327090771936,220.4471342966466,115.78443184587108,213.59406107833837,71.83779879520598,209.47327588556215,193.13867394043592,182.74506699121585,237.7264184378917,124.14385781291378,220.82035314936778,208.2914444686591,193.53822169736046,
,               August,181.7521774228439,347.21008452206576,258.7521286511404,167.07004358708474,213.36454748399728,96.92853064260599,234.3580945457182,191.64559797193402,206.22004131524864,272.69513371581365,163.90161459130664,304.5096420779415,258.914904863091,225.1702383187907,
,               September,160.96990955279966,278.6442082196007,215.7325704435483,159.29229552469107,194.8797313868971,48.22667013581085,197.7685771204428,240.4836744562769,191.4268135695726,246.9103582926512,162.1419187043396,242.7543143494132,227.29213598329713,201.7107097737954,
,               October,183.42131573621506,330.13321860952226,251.69734777305663,126.93884365425873,218.0785635966382,71.8772664003738,240.35372248164492,191.22707393237982,192.00589878402772,250.49681260837673,168.30679863946958,248.25933926484933,232.1677508787529,209.90283296232585,
,               November,215.63219232600616,329.74175601434587,268.73591515634087,164.3370896500338,226.33654935642036,33.201998468733656,226.28514755031298,357.7606129181711,217.30999838010024,296.9946033931924,159.4977555120123,312.88823095774825,272.12247804086223,236.01059238454147,
,               December,223.05123068067425,355.79506125773327,284.82687295421823,231.5976373879806,208.90167172792204,109.43219778921933,226.23976911784726,16.77813854088038,241.08386648133572,279.04267057345885,158.8769888245187,258.8598530157022,247.0970955370079,248.33501898429446,

,2018     January,226.63864023519528,365.4362876829421,291.2315767194563,194.3371808798696,221.2763544365078,288.18220317663366,233.70628740298167,190.70773852387316,229.85039144940524,293.29908690606794,145.2626554609289,284.3011395589533,258.8365955615218,245.25029264320057,
,             February,205.386792516039,394.7072064786933,293.491754661507,170.36373603624398,224.6660566810678,139.09418108850488,237.16351866071778,270.9142283137162,223.87912952153363,246.2587718303735,155.90280108664606,246.0140997516236,227.01270538809123,242.4608084168967,
,             March,221.50999368285983,430.4002033956467,318.7222468893968,216.31645192480863,181.43249963149142,82.10237510256171,224.96353557347285,202.24328460099366,230.35406994110826,260.2015539570824,153.2495752706215,225.9077493606625,227.12165387495003,243.88955126453376,
,  April,158.3421512128922,421.9492378907077,281.0182636663936,178.09616325071843,175.5063056656938,95.35676923929415,226.6259076885313,143.67239276379524,201.45049284887614,267.13549908609036,160.80199240101408,244.59007487326,237.40637158761422,221.6752045564523,
,  May,162.87535270098195,416.54139251171324,280.92515180782254,192.27171511249392,228.65930751802148,84.26031332418438,266.3378335202967,282.00336665254594,217.10967336534364,252.4107415407953,153.2822085402126,290.19815612267894,242.24786854971785,232.09509406282135,
,  June,160.6042938919585,439.9599565492487,290.60939777049634,190.26761958960483,215.52430845056918,144.86449024595368,233.88519836346964,115.24072574736317,198.72989425724322,246.85536273297637,371.5718824493567,240.81050654641862,271.7629570776872,229.09833958623622,
,  July,143.77575777765816,406.64262445068067,266.1073904461403,153.83684554280472,233.308757268899,123.75445614823997,255.4262578722982,121.23540715094548,204.91664625356296,273.5975682072679,142.60251164080964,246.16323298185281,237.13952806201,221.2820352437448,
,  August,165.4426434740317,447.27202069857447,296.59895193608304,223.08398913710818,233.15440479230915,102.9544127275745,253.22810523642212,153.18770987614158,224.4737955594848,283.36950582511025,103.5288984034741,277.9960610807941,243.0852997909777,239.53106686332316,
,  September,120.10339715076235,436.80742347884353,267.489490741584,227.4257308940603,225.41029965507624,250.7764039949236,231.84448149336308,241.32019181643113,228.95433273604104,229.20824752108035,84.83513099220298,271.0679949509801,210.5552035936448,230.1487579016217,
,  October,166.56277598581363,500.72816862982893,322.07495057378014,158.92450466846637,280.97164934306204,175.13412065132445,314.7860833748762,369.1496035872941,229.7398023457064,317.2093270508868,162.7280218395999,306.7298503677591,280.8308653418712,255.14038065923876,
,November,157.5249357167078,411.61101379487746,275.77021007567623,249.1036809521856,254.94250598156322,192.454681634018,264.27621866477267,155.9154641435021,250.60068772772476,251.8901227892773,133.3911211561614,237.22475514455343,222.09211368988838,247.0216954806105,
